pedido_id,cliente_id,fecha,estado,canal,monto_total
52,425,2026-06-24,Entregado,Tienda MDP,83449
53,75,2026-06-25,Entregado,Web,66183
54,125,2026-08-01,Despachado,Marketplace,114348
55,356,2026-07-26,Despachado,Web,31987
56,433,2026-08-30,En Proceso,Tienda MDP,351902
57,197,2026-08-18,En Proceso,Web,299939
58,94,2026-06-25,Cancelado,Marketplace,112318
59,256,2026-06-05,Despachado,Tienda MDP,183411
60,313,2026-08-05,Despachado,Marketplace,93379
61,411,2026-06-17,Cancelado,Instagram,386986
62,167,2026-06-12,Cancelado,Marketplace,370987
63,370,2026-06-05,Cancelado,Marketplace,281113
64,490,2026-08-26,Despachado,Web,389182
65,421,2026-08-18,Despachado,Instagram,135287
66,106,2026-07-21,Entregado,Instagram,200315
67,54,2026-08-25,Cancelado,Tienda MDP,42102
68,113,2026-08-09,Cancelado,Tienda MDP,154201
69,212,2026-07-09,Cancelado,Web,21679
70,160,2026-08-13,En Proceso,Instagram,368051
71,42,2026-06-04,En Proceso,Instagram,232322
72,498,2026-08-25,En Proceso,Marketplace,264136
73,393,2026-08-05,Despachado,Tienda MDP,113921
74,483,2026-06-14,Despachado,Web,209333
75,106,2026-06-09,Entregado,Instagram,110065
76,311,2026-08-25,Entregado,Tienda MDP,181550
77,340,2026-07-19,En Proceso,Tienda MDP,180651
78,275,2026-06-24,Despachado,Web,176936
79,148,2026-07-09,Despachado,Web,361669
80,33,2026-08-11,Entregado,Marketplace,63698
81,483,2026-07-06,Entregado,Tienda MDP,41753
82,273,2026-08-07,Despachado,Web,85773
83,146,2026-07-06,En Proceso,Instagram,161822
84,320,2026-06-26,Cancelado,Tienda MDP,321905
85,235,2026-07-25,Cancelado,Web,107591
86,473,2026-07-07,Despachado,Instagram,46454
87,174,2026-07-09,Entregado,Tienda MDP,271122
88,69,2026-08-22,En Proceso,Marketplace,213544
89,166,2026-08-12,En Proceso,Web,79743
90,328,2026-08-28,Cancelado,Marketplace,152372
91,98,2026-08-07,En Proceso,Tienda MDP,266719
92,147,2026-08-11,Cancelado,Marketplace,379434
93,253,2026-08-20,En Proceso,Instagram,385254
94,183,2026-08-05,Despachado,Web,326404
95,316,2026-08-24,Entregado,Instagram,309712
96,72,2026-08-10,En Proceso,Instagram,54993
97,141,2026-07-09,Entregado,Web,112062
98,492,2026-08-05,En Proceso,Tienda MDP,372205
99,322,2026-07-19,Entregado,Tienda MDP,205770
100,40,2026-07-28,Entregado,Instagram,47671
101,362,2026-07-29,Cancelado,Tienda MDP,50462
102,110,2026-08-08,Cancelado,Tienda MDP,43275
103,331,2026-08-30,Entregado,Tienda MDP,81322
104,126,2026-07-16,Entregado,Tienda MDP,269704
105,415,2026-07-21,En Proceso,Tienda MDP,187728
106,25,2026-06-20,Despachado,Tienda MDP,290892
107,64,2026-07-07,Entregado,Web,28291
108,283,2026-08-20,Entregado,Marketplace,99909
109,348,2026-07-29,Despachado,Instagram,47483
110,27,2026-07-02,Entregado,Tienda MDP,28389
111,441,2026-07-22,Cancelado,Tienda MDP,290257
112,389,2026-06-13,En Proceso,Web,229135
113,240,2026-08-11,Despachado,Instagram,182343
114,48,2026-06-19,Despachado,Instagram,141945
115,57,2026-08-18,Despachado,Marketplace,282081
116,104,2026-07-21,En Proceso,Marketplace,88909
117,182,2026-06-16,Entregado,Instagram,62380
118,239,2026-08-08,En Proceso,Marketplace,185214
119,369,2026-08-04,Entregado,Marketplace,35021
120,95,2026-07-26,Despachado,Instagram,255261
121,268,2026-07-09,En Proceso,Marketplace,286023
122,248,2026-07-01,Despachado,Marketplace,364836
123,194,2026-06-13,En Proceso,Marketplace,143615
124,104,2026-06-12,Cancelado,Marketplace,320431
125,477,2026-08-31,Despachado,Web,269373
126,388,2026-06-26,Despachado,Marketplace,51511
127,2,2026-07-30,Entregado,Marketplace,67937
128,204,2026-08-08,Cancelado,Marketplace,115555
129,458,2026-07-08,Cancelado,Web,98797
130,467,2026-08-14,Entregado,Marketplace,192422
131,265,2026-06-27,Despachado,Instagram,181031
132,466,2026-06-30,Entregado,Marketplace,155148
133,72,2026-07-21,En Proceso,Web,69624
134,63,2026-07-01,Despachado,Web,139936
135,66,2026-07-21,Entregado,Marketplace,243347
136,61,2026-07-10,Entregado,Web,377711
137,281,2026-06-27,Cancelado,Marketplace,367624
138,472,2026-08-13,En Proceso,Marketplace,205699
139,297,2026-07-16,Despachado,Instagram,159236
140,266,2026-06-11,Entregado,Instagram,174419
141,26,2026-06-28,En Proceso,Instagram,102607
142,174,2026-07-16,Despachado,Tienda MDP,92212
143,88,2026-08-20,En Proceso,Marketplace,118614
144,428,2026-07-25,Despachado,Marketplace,310446
145,279,2026-08-22,En Proceso,Marketplace,211324
146,385,2026-08-09,Cancelado,Web,215192
147,347,2026-06-05,Cancelado,Instagram,41983
148,77,2026-08-24,Entregado,Web,84642
149,106,2026-07-01,Despachado,Tienda MDP,68780
150,415,2026-07-02,Entregado,Web,334707
151,488,2026-08-08,Cancelado,Tienda MDP,371235
152,58,2026-07-23,Cancelado,Tienda MDP,279273
153,95,2026-06-07,Entregado,Instagram,353241
154,190,2026-07-03,Entregado,Instagram,237387
155,188,2026-07-16,Entregado,Web,387268
156,10,2026-08-23,En Proceso,Instagram,158976
157,18,2026-08-03,En Proceso,Instagram,28503
158,162,2026-07-19,Cancelado,Instagram,155482
159,283,2026-07-20,Cancelado,Web,233758
160,364,2026-06-05,Cancelado,Instagram,23851
161,244,2026-08-25,Despachado,Tienda MDP,239583
162,324,2026-07-23,En Proceso,Instagram,298790
163,494,2026-07-19,En Proceso,Marketplace,394196
164,314,2026-07-10,En Proceso,Marketplace,292807
165,141,2026-08-26,Despachado,Tienda MDP,314428
166,82,2026-08-18,Entregado,Tienda MDP,375905
167,421,2026-07-13,Entregado,Instagram,390795
168,141,2026-06-13,En Proceso,Marketplace,319975
169,53,2026-07-06,Cancelado,Marketplace,206856
170,3,2026-08-02,En Proceso,Web,308062
171,389,2026-07-18,Cancelado,Instagram,48299
172,446,2026-06-08,Despachado,Web,295788
173,320,2026-07-07,Cancelado,Tienda MDP,319605
174,105,2026-07-05,Despachado,Web,383112
175,184,2026-06-05,Entregado,Instagram,344644
176,167,2026-08-04,Entregado,Instagram,332432
177,111,2026-08-24,En Proceso,Tienda MDP,191049
178,36,2026-08-23,En Proceso,Instagram,233799
179,499,2026-07-02,En Proceso,Tienda MDP,72233
180,191,2026-08-06,En Proceso,Marketplace,334355
181,357,2026-07-09,Cancelado,Marketplace,63896
182,69,2026-08-03,Entregado,Marketplace,94774
183,466,2026-06-10,Despachado,Web,275735
184,50,2026-08-24,Cancelado,Instagram,215753
185,38,2026-06-12,Cancelado,Marketplace,201064
186,207,2026-06-12,Cancelado,Instagram,260464
187,249,2026-08-16,Despachado,Tienda MDP,242703
188,431,2026-07-19,Despachado,Instagram,57938
189,378,2026-07-23,Despachado,Marketplace,134112
190,65,2026-07-29,Despachado,Instagram,175830
191,457,2026-06-03,Despachado,Marketplace,274863
192,413,2026-08-14,Entregado,Marketplace,216813
193,37,2026-08-17,En Proceso,Web,45697
194,13,2026-08-28,Entregado,Marketplace,147050
195,104,2026-08-10,Entregado,Tienda MDP,337912
196,471,2026-08-06,Entregado,Tienda MDP,261712
197,324,2026-06-14,Despachado,Marketplace,76654
198,419,2026-06-18,En Proceso,Instagram,109998
199,39,2026-06-12,Cancelado,Web,196217
200,381,2026-06-24,Entregado,Marketplace,80420
201,99,2026-07-13,Entregado,Marketplace,279690
202,428,2026-06-14,Entregado,Tienda MDP,369874
203,309,2026-07-15,Despachado,Instagram,340197
204,224,2026-06-28,Entregado,Marketplace,78938
205,430,2026-07-03,Cancelado,Marketplace,58357
206,72,2026-08-23,Entregado,Instagram,215815
207,355,2026-07-27,Cancelado,Instagram,169775
208,191,2026-07-24,En Proceso,Tienda MDP,277576
209,95,2026-07-31,En Proceso,Instagram,183807
210,171,2026-06-10,Despachado,Marketplace,370676
211,450,2026-08-17,En Proceso,Marketplace,227070
212,404,2026-08-07,Cancelado,Tienda MDP,80343
213,440,2026-07-22,Entregado,Tienda MDP,298971
214,128,2026-06-24,Despachado,Marketplace,328763
215,117,2026-08-03,En Proceso,Marketplace,279402
216,143,2026-07-01,Despachado,Marketplace,267065
217,413,2026-08-16,Entregado,Marketplace,342510
218,430,2026-06-18,Cancelado,Tienda MDP,44819
219,297,2026-06-26,Cancelado,Tienda MDP,395984
220,216,2026-06-12,Despachado,Web,316754
221,413,2026-08-11,Despachado,Marketplace,92020
222,342,2026-07-05,Entregado,Marketplace,204545
223,126,2026-07-14,Entregado,Instagram,153443
224,324,2026-07-08,En Proceso,Tienda MDP,279549
225,23,2026-08-15,En Proceso,Tienda MDP,93726
226,131,2026-06-18,Entregado,Instagram,272186
227,360,2026-08-09,En Proceso,Tienda MDP,357419
228,126,2026-08-14,Cancelado,Instagram,337938
229,392,2026-06-04,Entregado,Tienda MDP,323895
230,219,2026-07-31,En Proceso,Web,99837
231,227,2026-06-12,En Proceso,Tienda MDP,313110
232,356,2026-08-27,En Proceso,Instagram,391873
233,400,2026-07-04,Despachado,Tienda MDP,147947
234,139,2026-08-23,Entregado,Web,187297
235,272,2026-06-11,Entregado,Instagram,151759
236,311,2026-06-04,Entregado,Web,354974
237,90,2026-08-26,Despachado,Tienda MDP,228887
238,138,2026-08-20,Cancelado,Marketplace,50465
239,165,2026-08-10,En Proceso,Web,361877
240,402,2026-06-20,En Proceso,Web,243687
241,406,2026-07-01,En Proceso,Tienda MDP,51944
242,429,2026-07-22,En Proceso,Tienda MDP,330256
243,71,2026-06-29,Despachado,Web,399394
244,291,2026-07-16,Entregado,Instagram,80494
245,497,2026-08-26,Despachado,Web,134906
246,349,2026-07-22,Cancelado,Web,166313
247,228,2026-07-08,Cancelado,Marketplace,189736
248,327,2026-07-08,Cancelado,Marketplace,140798
249,391,2026-06-05,Despachado,Web,389730
250,470,2026-06-29,Despachado,Web,33435
251,486,2026-08-22,En Proceso,Marketplace,245058
252,99,2026-06-26,Entregado,Tienda MDP,135065
253,252,2026-06-23,Entregado,Tienda MDP,126121
254,116,2026-06-19,En Proceso,Tienda MDP,148523
255,318,2026-06-12,En Proceso,Web,37268
256,111,2026-08-03,Entregado,Marketplace,33386
257,388,2026-06-22,En Proceso,Tienda MDP,136879
258,455,2026-07-30,Despachado,Instagram,130736
259,279,2026-08-29,Entregado,Web,271718
260,357,2026-07-20,Despachado,Web,42328
261,130,2026-08-07,Entregado,Instagram,114242
262,455,2026-07-02,Cancelado,Tienda MDP,81358
263,258,2026-06-22,Despachado,Marketplace,201010
264,40,2026-06-18,En Proceso,Instagram,70475
265,110,2026-07-09,En Proceso,Tienda MDP,87659
266,303,2026-06-18,En Proceso,Instagram,127281
267,221,2026-08-09,Entregado,Web,251174
268,67,2026-06-21,Despachado,Instagram,54097
269,486,2026-08-01,Entregado,Instagram,49980
270,481,2026-07-01,Entregado,Instagram,49220
271,288,2026-07-06,Entregado,Tienda MDP,284057
272,88,2026-06-22,Despachado,Tienda MDP,314658
273,367,2026-08-08,Despachado,Tienda MDP,88902
274,115,2026-07-14,Cancelado,Instagram,286278
275,399,2026-07-11,Cancelado,Web,111137
276,49,2026-06-29,Cancelado,Tienda MDP,61595
277,40,2026-06-09,Despachado,Tienda MDP,282578
278,49,2026-07-25,Cancelado,Instagram,120525
279,402,2026-08-10,Despachado,Web,44247
280,16,2026-06-12,En Proceso,Marketplace,280014
281,71,2026-06-23,Cancelado,Instagram,47017
282,280,2026-07-13,Cancelado,Tienda MDP,252240
283,208,2026-07-17,En Proceso,Web,70937
284,266,2026-08-06,Cancelado,Instagram,174876
285,414,2026-07-12,Cancelado,Instagram,198039
286,446,2026-06-10,Cancelado,Marketplace,353497
287,154,2026-07-12,En Proceso,Instagram,21468
288,352,2026-06-07,Entregado,Web,359489
289,56,2026-07-21,En Proceso,Web,322788
290,71,2026-08-08,Entregado,Tienda MDP,193828
291,467,2026-07-17,Entregado,Marketplace,132386
292,241,2026-07-01,En Proceso,Instagram,23175
293,345,2026-07-31,Despachado,Instagram,130233
294,33,2026-06-21,Despachado,Web,344904
295,292,2026-06-22,En Proceso,Marketplace,66691
296,271,2026-08-28,Despachado,Marketplace,239142
297,63,2026-08-19,En Proceso,Instagram,115864
298,78,2026-08-02,Despachado,Web,39707
299,157,2026-07-26,Despachado,Instagram,218752
300,477,2026-08-18,En Proceso,Instagram,186652
301,423,2026-07-24,Cancelado,Tienda MDP,352948
302,101,2026-06-06,Entregado,Web,186424
303,103,2026-06-09,Despachado,Instagram,207114
304,211,2026-07-19,En Proceso,Instagram,293871
305,273,2026-07-12,Entregado,Tienda MDP,97281
306,386,2026-08-21,Cancelado,Tienda MDP,318147
307,230,2026-08-13,Entregado,Web,98362
308,425,2026-07-11,Despachado,Marketplace,65283
309,8,2026-07-03,En Proceso,Instagram,80856
310,407,2026-08-11,Despachado,Instagram,160362
311,263,2026-08-22,Entregado,Web,347496
312,187,2026-06-28,Despachado,Web,286535
313,352,2026-07-20,Entregado,Marketplace,55566
314,210,2026-06-20,Entregado,Instagram,197413
315,54,2026-06-19,Despachado,Marketplace,367481
316,225,2026-06-04,En Proceso,Instagram,182320
317,254,2026-08-17,Entregado,Web,375624
318,373,2026-08-08,Cancelado,Web,33467
319,498,2026-07-01,En Proceso,Web,179897
320,206,2026-07-01,Cancelado,Instagram,70193
321,61,2026-07-29,En Proceso,Web,243686
322,480,2026-06-28,Despachado,Tienda MDP,105098
323,447,2026-08-06,Cancelado,Tienda MDP,336741
324,51,2026-07-21,Entregado,Tienda MDP,60635
325,396,2026-07-06,Entregado,Web,85207
326,324,2026-07-10,Cancelado,Tienda MDP,179703
327,278,2026-07-11,En Proceso,Web,366752
328,459,2026-06-23,En Proceso,Tienda MDP,337658
329,108,2026-07-08,Despachado,Web,262994
330,276,2026-07-12,Entregado,Web,323344
331,171,2026-07-05,Despachado,Web,54809
332,61,2026-08-26,En Proceso,Instagram,393313
333,42,2026-06-26,Despachado,Tienda MDP,343756
334,15,2026-06-05,Entregado,Instagram,81713
335,139,2026-07-07,Entregado,Instagram,29005
336,420,2026-08-02,Despachado,Instagram,218288
337,8,2026-07-27,Cancelado,Web,241902
338,145,2026-06-22,En Proceso,Marketplace,397537
339,122,2026-07-14,En Proceso,Marketplace,95371
340,202,2026-08-31,En Proceso,Tienda MDP,42403
341,37,2026-06-05,Despachado,Tienda MDP,316597
342,310,2026-06-04,Entregado,Instagram,31709
343,211,2026-06-24,Despachado,Web,264954
344,59,2026-07-01,Entregado,Web,216830
345,8,2026-07-02,Cancelado,Marketplace,229501
346,332,2026-07-06,En Proceso,Instagram,394033
347,473,2026-08-11,Cancelado,Instagram,386400
348,459,2026-07-26,Despachado,Instagram,261631
349,338,2026-08-18,Despachado,Web,102027
350,199,2026-06-25,Entregado,Marketplace,257057
351,408,2026-06-15,En Proceso,Marketplace,329585
352,299,2026-06-06,Entregado,Tienda MDP,80510
353,325,2026-07-01,Entregado,Marketplace,201807
354,98,2026-07-04,Despachado,Marketplace,68130
355,254,2026-07-04,Despachado,Web,275472
356,87,2026-07-04,Cancelado,Web,148314
357,441,2026-08-27,Cancelado,Instagram,344671
358,415,2026-07-25,Despachado,Web,119554
359,307,2026-08-15,Despachado,Marketplace,277491
360,31,2026-07-19,Despachado,Tienda MDP,170127
361,239,2026-07-13,Cancelado,Tienda MDP,322186
362,8,2026-08-03,En Proceso,Instagram,159534
363,146,2026-07-31,Despachado,Web,38054
364,120,2026-08-11,Entregado,Tienda MDP,159349
365,456,2026-06-25,En Proceso,Instagram,370614
366,152,2026-06-22,Entregado,Marketplace,393279
367,377,2026-07-12,En Proceso,Tienda MDP,46551
368,172,2026-07-25,En Proceso,Instagram,165364
369,255,2026-06-15,Cancelado,Marketplace,372666
370,65,2026-06-20,Entregado,Marketplace,365398
371,139,2026-07-16,Cancelado,Tienda MDP,41436
372,200,2026-07-25,En Proceso,Web,130363
373,400,2026-06-28,Cancelado,Marketplace,172135
374,75,2026-06-29,Entregado,Web,90337
375,91,2026-07-22,Entregado,Instagram,383942
376,86,2026-07-30,Entregado,Instagram,169870
377,31,2026-08-31,Despachado,Web,310524
378,256,2026-06-27,En Proceso,Marketplace,153615
379,374,2026-08-16,Cancelado,Instagram,181595
380,38,2026-06-23,Despachado,Tienda MDP,333620
381,338,2026-07-30,En Proceso,Tienda MDP,187882
382,196,2026-07-08,En Proceso,Tienda MDP,302285
383,157,2026-07-26,Entregado,Instagram,172457
384,53,2026-08-24,En Proceso,Marketplace,57875
385,93,2026-07-12,Entregado,Marketplace,232001
386,332,2026-08-28,Cancelado,Marketplace,291350
387,363,2026-06-17,Cancelado,Tienda MDP,115913
388,354,2026-06-11,Entregado,Instagram,345155
389,333,2026-06-29,Despachado,Tienda MDP,79671
390,20,2026-07-27,Cancelado,Tienda MDP,198157
391,449,2026-06-18,Despachado,Instagram,70609
392,204,2026-08-25,Entregado,Instagram,170656
393,308,2026-07-31,En Proceso,Marketplace,273730
394,100,2026-08-02,En Proceso,Web,302752
395,21,2026-08-10,Entregado,Marketplace,27209
396,9,2026-08-17,Cancelado,Tienda MDP,172339
397,294,2026-08-21,En Proceso,Instagram,38851
398,289,2026-08-25,En Proceso,Instagram,241384
399,2,2026-08-06,Despachado,Marketplace,128734
400,406,2026-08-17,Despachado,Web,311989
401,7,2026-07-31,Despachado,Marketplace,50469
402,97,2026-08-18,Entregado,Tienda MDP,276611
403,7,2026-06-07,En Proceso,Marketplace,214230
404,236,2026-08-12,En Proceso,Tienda MDP,397483
405,314,2026-07-05,Cancelado,Instagram,326300
406,389,2026-08-01,Entregado,Tienda MDP,95516
407,261,2026-07-16,Despachado,Web,331467
408,198,2026-08-26,En Proceso,Marketplace,142562
409,422,2026-06-25,En Proceso,Instagram,294045
410,92,2026-08-03,Entregado,Marketplace,342125
411,271,2026-08-02,Despachado,Web,391286
412,355,2026-08-19,Despachado,Web,26796
413,254,2026-07-27,Entregado,Tienda MDP,31269
414,146,2026-06-17,Cancelado,Instagram,38365
415,26,2026-06-13,Cancelado,Marketplace,367304
416,39,2026-08-09,Entregado,Instagram,370951
417,290,2026-08-25,En Proceso,Tienda MDP,195761
418,233,2026-08-09,Despachado,Web,309758
419,397,2026-08-25,Cancelado,Marketplace,370016
420,348,2026-08-14,Entregado,Web,355125
421,393,2026-06-26,Despachado,Tienda MDP,114552
422,286,2026-06-24,Entregado,Marketplace,21319
423,293,2026-07-07,Cancelado,Web,97715
424,150,2026-06-06,Despachado,Marketplace,51139
425,108,2026-08-13,Entregado,Instagram,199207
426,323,2026-06-11,Entregado,Instagram,24575
427,411,2026-08-25,Despachado,Marketplace,373351
428,34,2026-06-17,Cancelado,Web,194910
429,480,2026-08-11,En Proceso,Tienda MDP,357366
430,358,2026-08-12,Cancelado,Tienda MDP,128250
431,150,2026-06-16,Entregado,Tienda MDP,301016
432,350,2026-06-28,Despachado,Instagram,318640
433,392,2026-06-16,Entregado,Tienda MDP,303165
434,7,2026-06-24,Despachado,Web,391742
435,193,2026-07-03,Despachado,Web,74092
436,368,2026-08-05,Despachado,Tienda MDP,85986
437,195,2026-07-18,En Proceso,Web,173311
438,379,2026-07-16,En Proceso,Web,340442
439,387,2026-08-13,Entregado,Instagram,278610
440,64,2026-08-24,Despachado,Web,62439
441,169,2026-07-08,En Proceso,Instagram,242826
442,255,2026-06-29,Cancelado,Marketplace,107386
443,228,2026-06-15,Cancelado,Marketplace,143735
444,385,2026-06-23,Cancelado,Instagram,132150
445,216,2026-07-12,Entregado,Marketplace,132747
446,134,2026-07-05,Despachado,Tienda MDP,368614
447,32,2026-08-14,Despachado,Tienda MDP,179423
448,391,2026-08-06,En Proceso,Marketplace,365493
449,360,2026-07-26,Cancelado,Tienda MDP,261775
450,382,2026-07-27,Cancelado,Marketplace,354216
451,288,2026-07-20,Entregado,Instagram,276460
452,480,2026-08-16,Entregado,Marketplace,37943
453,151,2026-06-26,Despachado,Tienda MDP,378395
454,30,2026-06-19,En Proceso,Web,89636
455,462,2026-08-18,En Proceso,Tienda MDP,266384
456,454,2026-06-22,Entregado,Marketplace,342688
457,276,2026-07-31,Despachado,Marketplace,67081
458,23,2026-06-03,En Proceso,Tienda MDP,277431
459,383,2026-07-29,Despachado,Web,71916
460,354,2026-07-21,Cancelado,Instagram,190731
461,222,2026-08-06,Entregado,Instagram,380828
462,365,2026-08-04,En Proceso,Marketplace,395048
463,467,2026-08-29,Despachado,Instagram,52563
464,284,2026-07-13,En Proceso,Instagram,113382
465,271,2026-06-21,Entregado,Marketplace,160321
466,182,2026-08-19,En Proceso,Instagram,382564
467,40,2026-08-02,En Proceso,Web,276643
468,91,2026-07-11,Despachado,Instagram,71733
469,309,2026-07-29,Entregado,Marketplace,377580
470,23,2026-06-27,Despachado,Instagram,238790
471,405,2026-07-21,Entregado,Tienda MDP,75129
472,394,2026-06-21,Cancelado,Instagram,263638
473,245,2026-07-30,Despachado,Instagram,265027
474,277,2026-08-25,Entregado,Web,173329
475,450,2026-08-13,Cancelado,Tienda MDP,133109
476,168,2026-07-29,Despachado,Marketplace,302057
477,147,2026-08-25,Despachado,Web,385448
478,360,2026-07-20,Despachado,Web,39054
479,160,2026-07-24,Despachado,Instagram,43557
480,120,2026-08-15,En Proceso,Web,219506
481,470,2026-08-14,En Proceso,Instagram,346587
482,431,2026-07-06,Cancelado,Marketplace,101807
483,84,2026-08-12,Entregado,Tienda MDP,178341
484,33,2026-06-28,Cancelado,Web,229924
485,141,2026-08-21,Cancelado,Marketplace,143183
486,55,2026-06-22,Despachado,Instagram,392778
487,127,2026-06-13,Cancelado,Marketplace,291632
488,289,2026-07-05,Entregado,Web,333099
489,451,2026-07-26,En Proceso,Instagram,349790
490,40,2026-06-10,Cancelado,Web,75424
491,346,2026-07-03,Despachado,Marketplace,317140
492,127,2026-06-20,En Proceso,Web,99153
493,448,2026-06-25,Entregado,Tienda MDP,399669
494,473,2026-07-18,Entregado,Web,70332
495,417,2026-08-09,Cancelado,Marketplace,101943
496,273,2026-08-22,Cancelado,Marketplace,30845
497,324,2026-08-12,Despachado,Marketplace,331814
498,492,2026-07-25,Cancelado,Tienda MDP,76868
499,305,2026-07-01,Despachado,Tienda MDP,240816
500,417,2026-07-20,Entregado,Instagram,263783
501,54,2026-08-27,Cancelado,Tienda MDP,95651
502,23,2026-07-22,Despachado,Tienda MDP,241881
503,195,2026-07-04,Despachado,Instagram,229043
504,411,2026-07-27,Cancelado,Tienda MDP,123459
505,108,2026-07-19,Entregado,Web,357711
506,181,2026-06-11,Entregado,Instagram,208507
507,482,2026-06-26,Cancelado,Instagram,383134
508,216,2026-08-13,Cancelado,Web,262393
509,244,2026-07-07,Entregado,Web,202164
510,440,2026-07-06,En Proceso,Tienda MDP,96073
511,307,2026-06-05,En Proceso,Marketplace,180527
512,51,2026-08-09,Entregado,Tienda MDP,211948
513,220,2026-08-16,En Proceso,Marketplace,60747
514,388,2026-08-09,Despachado,Instagram,196536
515,274,2026-08-27,Entregado,Tienda MDP,73046
516,259,2026-08-15,Cancelado,Tienda MDP,81678
517,42,2026-06-12,En Proceso,Instagram,336215
518,370,2026-08-31,Despachado,Web,167938
519,326,2026-07-06,En Proceso,Web,120560
520,202,2026-06-28,Cancelado,Marketplace,246940
521,285,2026-08-03,Despachado,Marketplace,285143
522,410,2026-08-02,Despachado,Instagram,207735
523,324,2026-07-24,Despachado,Marketplace,294663
524,166,2026-07-19,En Proceso,Tienda MDP,261137
525,66,2026-06-05,Cancelado,Tienda MDP,270973
526,118,2026-08-11,En Proceso,Marketplace,86785
527,438,2026-07-27,Entregado,Marketplace,68829
528,225,2026-08-28,En Proceso,Instagram,180580
529,487,2026-07-28,Entregado,Marketplace,335766
530,254,2026-06-29,Cancelado,Marketplace,383166
531,380,2026-06-27,En Proceso,Marketplace,266649
532,485,2026-07-17,En Proceso,Tienda MDP,320519
533,456,2026-06-18,Entregado,Tienda MDP,39193
534,479,2026-08-15,Entregado,Tienda MDP,43864
535,337,2026-06-16,En Proceso,Instagram,50485
536,40,2026-08-31,Entregado,Tienda MDP,212588
537,70,2026-07-29,Cancelado,Instagram,386307
538,408,2026-06-11,Entregado,Web,19385
539,282,2026-07-30,En Proceso,Marketplace,317916
540,52,2026-07-14,En Proceso,Marketplace,192845
541,446,2026-08-12,Despachado,Tienda MDP,170254
542,345,2026-08-03,Entregado,Web,377224
543,277,2026-07-05,En Proceso,Instagram,47690
544,90,2026-08-28,Entregado,Marketplace,70892
545,284,2026-07-21,Entregado,Instagram,132848
546,280,2026-07-01,Cancelado,Marketplace,264706
547,53,2026-06-25,Despachado,Web,227869
548,279,2026-08-02,Despachado,Marketplace,324084
549,400,2026-08-17,Despachado,Instagram,337846
550,8,2026-08-09,En Proceso,Tienda MDP,31310
551,366,2026-08-29,Entregado,Tienda MDP,285711
552,429,2026-07-27,Cancelado,Marketplace,246016
553,418,2026-07-02,Entregado,Tienda MDP,145071
554,240,2026-08-17,En Proceso,Instagram,264069
555,144,2026-08-01,Despachado,Web,130139
556,266,2026-07-17,En Proceso,Instagram,112150
